Planta;Fecha de necesidad;Componente;Descripción del componente;Documento de compra;Cantidad Necesaria Abierta;Necesidad Total Acumulada;Necesidad diaria acumulada;Unrestricted;Hora mas temprana;ScheduledStart
5242;01.03.2026;8002001001;INDUCTOR 180 AL;5540001001;"50,000";"50,000";"50,000";"500,000";06:00:00;01.03.2026
5242;01.03.2026;8002001001;INDUCTOR 180 AL;5540001001;"100,000";"150,000";"150,000";"400,000";08:15:22;01.03.2026
5242;01.03.2026;8002001001;INDUCTOR 180 AL;5540001001;"200,000";"350,000";"350,000";"200,000";10:30:10;01.03.2026
5242;01.03.2026;8002001001;INDUCTOR 180 AL;5540001001;"250,000";"600,000";"600,000";"-50,000";12:45:33;01.03.2026

5242;01.03.2026;8002001002;Soporte HomeConnect;5540001002;"30,000";"30,000";"30,000";"300,000";06:00:00;01.03.2026
5242;01.03.2026;8002001002;Soporte HomeConnect;5540001002;"40,000";"70,000";"70,000";"260,000";09:20:45;01.03.2026
5242;01.03.2026;8002001002;Soporte HomeConnect;5540001002;"80,000";"150,000";"150,000";"180,000";14:10:11;01.03.2026

5242;01.03.2026;8002001003;Sensor NTC conjunto;5540001003;"60,000";"60,000";"60,000";"200,000";06:00:00;01.03.2026
5242;01.03.2026;8002001003;Sensor NTC conjunto;5540001003;"80,000";"140,000";"140,000";"120,000";11:35:20;01.03.2026
5242;01.03.2026;8002001003;Sensor NTC conjunto;5540001003;"150,000";"290,000";"290,000";"-90,000";16:50:55;01.03.2026

5242;01.03.2026;8002001004;INDUCTOR SP200 NA;5540001004;"100,000";"100,000";"100,000";"900,000";06:00:00;01.03.2026
5242;01.03.2026;8002001004;INDUCTOR SP200 NA;5540001004;"200,000";"300,000";"300,000";"700,000";10:05:44;01.03.2026
5242;01.03.2026;8002001004;INDUCTOR SP200 NA;5540001004;"300,000";"600,000";"600,000";"400,000";15:40:30;01.03.2026

5242;01.03.2026;8002001005;Capacitor módulo;5540001005;"120,000";"120,000";"120,000";"500,000";06:00:00;01.03.2026
5242;01.03.2026;8002001005;Capacitor módulo;5540001005;"200,000";"320,000";"320,000";"300,000";12:22:10;01.03.2026
5242;01.03.2026;8002001005;Capacitor módulo;5540001005;"350,000";"670,000";"670,000";"-170,000";18:05:42;01.03.2026
